查票时间,演出ID,票档名称,票价,状态,API响应,备注
2026-06-06 13:28:04,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:04,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:04,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:08,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:08,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:08,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:08,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:08,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:08,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:13,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:13,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:13,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:13,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:13,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:13,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:17,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:17,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:17,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:17,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:17,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:17,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:21,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:21,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:21,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:21,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:21,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:21,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:26,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:26,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:26,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:26,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:26,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:26,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:30,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:30,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:30,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:30,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:30,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:30,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:35,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:35,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:35,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:35,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:35,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:35,295821,280元票,280,售罄,无响应,
